name,address,latitude,longitude
McDonald's Plaza Angsana ,"Lot No. L1 - 27, Plaza Angsana, Jalan Skudai, Pusat Bandar Tampoi, 81000, Johor Bahru, Johor, Malaysia",1.49525,103.705958
McDonald's Langkawi,"GF3, Langkawi Fair, Lot 44, Jalan Persiaran Putra, 07000, Langkawi, Kedah, Malaysia",6.31032,99.856205
McDonald's Kuching II,"Ground Floor, Shop Lot No. 12 & 13, 3rd Mile, Jalan Tun Ahmad Zaidi Adruce, 93250, Kuching, Sarawak, Malaysia",1.525045,110.336868
McDonald's Genting Sempah DT,"Kawasan Rehat Genting-Sempah, KM 38.4 Lebuhraya KL-Karak, Genting Sempah, 28750, Bentong, Pahang, Malaysia",3.350833,101.790678
McDonald's KLIA ,"Concession 18B, Level 5 (Departure Level), MTB, Kuala Lumpur International Airport, 43909, Sepang, Selangor, Malaysia",2.753258,101.704628
McDonald's Berjaya Megamall Kuantan,"Lot No. G-89 & 1-85 (Ground & First), Berjaya Megamall, Jalan Tun Ismail, Sri Dagangan, 25000, Kuantan, Pahang, Malaysia",3.815994,103.330942
McDonald's Summit Subang USJ ,"Lot Nos. 38 & 39A, The Summit Subang USJ, Persiaran Kewajipan USJ 1, 47600, Subang Jaya, Selangor, Malaysia",3.059225,101.593797
McDonald's Litrak DT,"Lay By 3, Hentian Sebelah Petaling Jaya, Lebuhraya Damansara Puchong, Bandar Sunway, PJS 9, 47600, Petaling Jaya, Selangor, Malaysia",3.060019,101.614449
McDonald's Miri,"Lot 1264, 1 st Floor, Bintang Plaza Shopping Centre, Jalan Miri - Pujut, 98008, Miri, Sarawak, Malaysia",4.397,113.99
McDonald's Bandar Utama DT,"No. 5 Lebuh Bandar Utama, PJU 6, Bandar Utama, 47800, Petaling Jaya, Selangor, Malaysia",3.137376,101.609523
McDonald's Mid Valley 1,"Lot No. LG-033 & LG-034, Lower Ground Floor, Jalan Kelang Lama, 58000, , Kuala Lumpur, Malaysia",3.117472,101.677383
McDonald's Mont Kiara ,"No. 1, Block D, Plaza Mont Kiara, Jalan Bukit Kiara, 50480, , Kuala Lumpur, Malaysia",3.165561,101.651018
McDonald's Taman Buaya DT,"Lot 4570 Taman Buaya Melaka, Mukim Bukit Katil, Daerah Melaka Tengah, 75320, Air Keroh, Melaka, Malaysia",2.277436,102.298094
McDonald's Sri Gombak ,"No. 1 Jalan SG. 1/6, Taman Sri Gombak, 68100, Batu Caves , Selangor, Malaysia",3.237739,101.699261
McDonald's Jalan Tebrau DT,"Lot PTD 68950, Batu 7 1/2, Jalan Kota Tinggi, 81100, Johor Bahru, Johor, Malaysia",1.535633,103.784547
McDonald's AEON Wangsa Maju,"Lots F2.43, F2.44, F2.45, Level F2, Aeon Wangsa Maju, No. 6 Jalan 8/27A, Section 5, 53300, , Kuala Lumpur, Malaysia",3.196008,101.742756
McDonald's Mobil KL-Seremban Highway,"8KM KL-Seremban Highway, 57000, , Kuala Lumpur, Malaysia",3.04701,101.705822
McDonald's Prangin Mall,"Lot 33-1-40, Prangin Mall, Jalan Dr Lim Chwee Leong, 10100, George Town, Pulau Pinang, Malaysia",5.414494,100.331328
McDonald's Sunway Mentari,"No. 30 Sunway Mentari, Ground Floor Dataran Mentari, Jalan PJS 8/2, 46200, Petaling Jaya, Selangor, Malaysia",3.074925,101.612106
McDonald's Teluk Cempedak DT,"Kawasan Rekreasi, Teluk Cempedak, Jalan Teluk Cempedak, 25100, Kuantan, Pahang, Malaysia",3.812414,103.371836
McDonald's Taman Sri Andalas,"No. 2, Jalan Sri Sarawak 18, Taman Sri Andalas, 41200, Klang, Selangor, Malaysia",3.016348,101.442564
